bench_name,model_cycle,temperature,num_completions,max_rollout_depth,max_requests_per_attempt,max_dollar_budget,seed,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,224,3,6,0.2,2,True,28,93216,82048,12464,0.051838799999999984
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,64,3,4,0.2,2,True,8,26597,25216,5942,0.0157824
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,32,3,6,0.2,2,True,4,13301,12416,1744,0.007713149999999999
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,0,True,1,3339,3072,474,0.0019188
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,0,True,1,3339,3072,8026,0.0024852
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,0,True,1,3339,3200,7352,0.0024922499999999997
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,0,True,1,3339,3072,2492,0.0020701499999999998
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,1,True,1,3339,3072,509,0.001921425
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,1,True,1,3339,3200,441,0.0019739249999999996
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,1,True,1,3339,3200,417,0.001972125
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,1,True,1,3339,3200,389,0.001970025
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,2,True,1,3339,3200,426,0.0019728
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,2,True,1,3339,3200,398,0.0019706999999999997
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,2,True,1,3339,3200,444,0.00197415
56,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,2,True,1,3339,3200,794,0.0020004
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,4,0.2,0,True,0,0,0,0,0.0
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,6,0.2,0,True,0,0,0,0,0.0
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,0,3,4,0.2,0,True,0,0,0,0,0.0
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,0,3,6,0.2,0,True,0,0,0,0,0.0
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,4,0.2,1,True,0,0,0,0,0.0
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,6,0.2,1,True,0,0,0,0,0.0
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,0,3,4,0.2,1,True,0,0,0,0,0.0
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,0,3,6,0.2,1,True,0,0,0,0,0.0
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,4,0.2,2,True,0,0,0,0,0.0
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,6,0.2,2,True,0,0,0,0,0.0
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,0,3,4,0.2,2,True,0,0,0,0,0.0
82,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,0,3,6,0.2,2,True,0,0,0,0,0.0
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,0,True,1,3334,3072,622,0.00192915
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,40,3,6,0.2,0,True,5,16866,15360,2649,0.009640575
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,32,3,4,0.2,0,True,4,13440,12672,2457,0.007902675
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,64,3,6,0.2,0,True,8,26970,22016,7892,0.014544599999999998
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,16,3,4,0.2,1,True,2,6700,6400,1185,0.003973875
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,16,3,6,0.2,1,True,2,6721,6400,1172,0.00397605
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,32,3,4,0.2,1,True,4,13491,12800,7508,0.008346749999999998
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,40,3,6,0.2,1,True,5,16885,15872,4214,0.009991199999999999
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,24,3,4,0.2,2,True,3,10132,9472,1827,0.005919224999999999
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,24,3,6,0.2,2,True,3,10127,9600,6127,0.006298574999999999
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,24,3,4,0.2,2,True,3,10066,9600,1373,0.005932874999999999
94,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,32,3,6,0.2,2,True,4,13566,12672,19485,0.009198675
73,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,4,0.2,0,True,0,0,0,0,0.0
73,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,6,0.2,0,True,0,0,0,0,0.0
73,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,0,3,4,0.2,0,True,0,0,0,0,0.0
73,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,0,3,6,0.2,0,True,0,0,0,0,0.0
73,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,4,0.2,1,True,0,0,0,0,0.0
73,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,6,0.2,1,True,0,0,0,0,0.0
73,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,0,3,4,0.2,1,True,0,0,0,0,0.0
73,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,0,3,6,0.2,1,True,0,0,0,0,0.0
73,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,4,0.2,2,True,0,0,0,0,0.0
73,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,0,3,6,0.2,2,True,0,0,0,0,0.0
73,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,0,3,4,0.2,2,True,0,0,0,0,0.0
